CommitId;RefactoringType;RefactoringDetail
e5b66192e7b303d7d25fc172b1878c055b554047;Change Attribute Type;Change Attribute Type	mDefaultValueFormatter : IValueFormatter to mDefaultValueFormatter : ValueFormatter in class com.github.mikephil.charting.utils.Utils
e5b66192e7b303d7d25fc172b1878c055b554047;Change Return Type;Change Return Type	IValueFormatter to ValueFormatter in method private generateDefaultValueFormatter() : ValueFormatter in class com.github.mikephil.charting.utils.Utils
e5b66192e7b303d7d25fc172b1878c055b554047;Change Return Type;Change Return Type	IValueFormatter to ValueFormatter in method public getDefaultValueFormatter() : ValueFormatter in class com.github.mikephil.charting.utils.Utils
e5b66192e7b303d7d25fc172b1878c055b554047;Extract Superclass;Extract Superclass	com.github.mikephil.charting.formatter.ValueFormatter from classes [com.xxmassdeveloper.mpchartexample.StackedBarActivityNegative.CustomFormatter, com.xxmassdeveloper.mpchartexample.custom.DayAxisValueFormatter, com.xxmassdeveloper.mpchartexample.custom.MyCustomXAxisValueFormatter, com.xxmassdeveloper.mpchartexample.custom.MyValueFormatter, com.xxmassdeveloper.mpchartexample.custom.YearXAxisFormatter, com.github.mikephil.charting.formatter.DefaultAxisValueFormatter, com.github.mikephil.charting.formatter.DefaultValueFormatter, com.github.mikephil.charting.formatter.IndexAxisValueFormatter, com.github.mikephil.charting.formatter.LargeValueFormatter, com.github.mikephil.charting.formatter.PercentFormatter, com.github.mikephil.charting.formatter.StackedValueFormatter]
e5b66192e7b303d7d25fc172b1878c055b554047;Pull Up Method;Pull Up Method	public getFormattedValue(value float, axis AxisBase) : String from class com.xxmassdeveloper.mpchartexample.StackedBarActivityNegative.CustomFormatter to public getFormattedValue(value float, axis AxisBase) : String from class com.github.mikephil.charting.formatter.ValueFormatter
e5b66192e7b303d7d25fc172b1878c055b554047;Pull Up Method;Pull Up Method	public getFormattedValue(value float, entry Entry, dataSetIndex int, viewPortHandler ViewPortHandler) : String from class com.xxmassdeveloper.mpchartexample.custom.MyValueFormatter to public getFormattedValue(value float, entry Entry, dataSetIndex int, viewPortHandler ViewPortHandler) : String from class com.github.mikephil.charting.formatter.ValueFormatter
e5b66192e7b303d7d25fc172b1878c055b554047;Pull Up Method;Pull Up Method	public getFormattedValue(value float, axis AxisBase) : String from class com.github.mikephil.charting.formatter.LargeValueFormatter to public getFormattedValue(value float, axis AxisBase) : String from class com.github.mikephil.charting.formatter.ValueFormatter
e5b66192e7b303d7d25fc172b1878c055b554047;Pull Up Method;Pull Up Method	public getFormattedValue(value float, axis AxisBase) : String from class com.github.mikephil.charting.formatter.PercentFormatter to public getFormattedValue(value float, axis AxisBase) : String from class com.github.mikephil.charting.formatter.ValueFormatter
e5b66192e7b303d7d25fc172b1878c055b554047;Push Down Method;Push Down Method	public drawValue(c Canvas, formatter IValueFormatter, value float, entry Entry, dataSetIndex int, x float, y float, color int) : void from class com.github.mikephil.charting.renderer.DataRenderer to public drawValue(c Canvas, valueText String, x float, y float, color int) : void from class com.github.mikephil.charting.renderer.PieChartRenderer
e5b66192e7b303d7d25fc172b1878c055b554047;Change Parameter Type;Change Parameter Type	f : IValueFormatter to f : ValueFormatter in method public setValueFormatter(f ValueFormatter) : void in class com.github.mikephil.charting.interfaces.datasets.IDataSet
