CommitId;RefactoringType;RefactoringDetail
ac438d161cffb179321d0a16f6353999432b603e;Change Return Type;Change Return Type	ListMultimap<TypeLiteral<?>,InjectionPoint> to Map<TypeLiteral<?>,List<InjectionPoint>> in method public getAllMembersInjectorInjectionPoints() : Map<TypeLiteral<?>,List<InjectionPoint>> in class com.google.inject.internal.InjectorImpl
ac438d161cffb179321d0a16f6353999432b603e;Change Return Type;Change Return Type	ListMultimap<TypeLiteral<?>,InjectionPoint> to Map<TypeLiteral<?>,List<InjectionPoint>> in method public getAllMembersInjectorInjectionPoints() : Map<TypeLiteral<?>,List<InjectionPoint>> in class com.google.inject.internal.InternalInjectorCreator.ToolStageInjector
ac438d161cffb179321d0a16f6353999432b603e;Change Variable Type;Change Variable Type	injectionPoints : Multimap<TypeLiteral<?>,InjectionPoint> to injectionPoints : Map<TypeLiteral<?>,List<InjectionPoint>> in method public testGetAllMembersInjectorInjectionPoints_injectMembers_returned() : void in class com.google.inject.spi.InjectorSpiTest
ac438d161cffb179321d0a16f6353999432b603e;Change Variable Type;Change Variable Type	injectionPoints : Multimap<TypeLiteral<?>,InjectionPoint> to injectionPoints : Map<TypeLiteral<?>,List<InjectionPoint>> in method public testGetAllMembersInjectorInjectionPoints_getInstance() : void in class com.google.inject.spi.InjectorSpiTest
ac438d161cffb179321d0a16f6353999432b603e;Change Variable Type;Change Variable Type	injectionPoints : Multimap<TypeLiteral<?>,InjectionPoint> to injectionPoints : Map<TypeLiteral<?>,List<InjectionPoint>> in method public testGetAllMembersInjectorInjectionPoints_getInstanceAndInjectMembers() : void in class com.google.inject.spi.InjectorSpiTest
6fd2442814cd268803cfe5b9c920460250f825ca;Change Return Type;Change Return Type	TypeLiteral<?> to TypeLiteral<java.util.Optional<T>> in method package javaOptionalOf(type TypeLiteral<T>) : TypeLiteral<java.util.Optional<T>> in class com.google.inject.internal.RealOptionalBinder
6fd2442814cd268803cfe5b9c920460250f825ca;Change Return Type;Change Return Type	TypeLiteral<?> to TypeLiteral<java.util.Optional<javax.inject.Provider<T>>> in method package javaOptionalOfJavaxProvider(type TypeLiteral<T>) : TypeLiteral<java.util.Optional<javax.inject.Provider<T>>> in class com.google.inject.internal.RealOptionalBinder
6fd2442814cd268803cfe5b9c920460250f825ca;Change Return Type;Change Return Type	TypeLiteral<?> to TypeLiteral<java.util.Optional<Provider<T>>> in method package javaOptionalOfProvider(type TypeLiteral<T>) : TypeLiteral<java.util.Optional<Provider<T>>> in class com.google.inject.internal.RealOptionalBinder
6fd2442814cd268803cfe5b9c920460250f825ca;Inline Method;Inline Method	private bindJava8Optional(binder Binder) : void inlined to public configure(binder Binder) : void in class com.google.inject.internal.RealOptionalBinder
6fd2442814cd268803cfe5b9c920460250f825ca;Change Variable Type;Change Variable Type	typeLiteral : TypeLiteral<?> to typeLiteral : TypeLiteral<T> in method public configure(binder Binder) : void in class com.google.inject.internal.RealOptionalBinder
6fd2442814cd268803cfe5b9c920460250f825ca;Extract Variable;Extract Variable	typeLiteral : TypeLiteral<T> in method public configure(binder Binder) : void from class com.google.inject.internal.RealOptionalBinder
6fd2442814cd268803cfe5b9c920460250f825ca;Change Attribute Type;Change Attribute Type	optionalKey : Key<?> to optionalKey : Key<java.util.Optional<T>> in class com.google.inject.internal.RealOptionalBinder.JavaOptionalProvider
6fd2442814cd268803cfe5b9c920460250f825ca;Change Return Type;Change Return Type	Key to Key<java.util.Optional<T>> in method public getKey() : Key<java.util.Optional<T>> in class com.google.inject.internal.RealOptionalBinder.JavaOptionalProvider
6fd2442814cd268803cfe5b9c920460250f825ca;Change Parameter Type;Change Parameter Type	bindingSelection : BindingSelection<?> to bindingSelection : BindingSelection<T> in method package JavaOptionalProvider(bindingSelection BindingSelection<T>, optionalKey Key<java.util.Optional<T>>) in class com.google.inject.internal.RealOptionalBinder.JavaOptionalProvider
6fd2442814cd268803cfe5b9c920460250f825ca;Change Parameter Type;Change Parameter Type	optionalKey : Key<?> to optionalKey : Key<java.util.Optional<T>> in method package JavaOptionalProvider(bindingSelection BindingSelection<T>, optionalKey Key<java.util.Optional<T>>) in class com.google.inject.internal.RealOptionalBinder.JavaOptionalProvider
6fd2442814cd268803cfe5b9c920460250f825ca;Change Return Type;Change Return Type	Object to java.util.Optional<T> in method protected doProvision(context InternalContext, currentDependency Dependency<?>) : java.util.Optional<T> in class com.google.inject.internal.RealOptionalBinder.JavaOptionalProvider
6fd2442814cd268803cfe5b9c920460250f825ca;Rename Parameter;Rename Parameter	dependency : Dependency to currentDependency : Dependency<?> in method protected doProvision(context InternalContext, currentDependency Dependency<?>) : java.util.Optional<T> in class com.google.inject.internal.RealOptionalBinder.JavaOptionalProvider
6fd2442814cd268803cfe5b9c920460250f825ca;Change Parameter Type;Change Parameter Type	dependency : Dependency to currentDependency : Dependency<?> in method protected doProvision(context InternalContext, currentDependency Dependency<?>) : java.util.Optional<T> in class com.google.inject.internal.RealOptionalBinder.JavaOptionalProvider
6fd2442814cd268803cfe5b9c920460250f825ca;Change Return Type;Change Return Type	Object to R in method public acceptExtensionVisitor(visitor BindingTargetVisitor<B,R>, binding ProviderInstanceBinding<? extends B>) : R in class com.google.inject.internal.RealOptionalBinder.JavaOptionalProvider
6fd2442814cd268803cfe5b9c920460250f825ca;Change Parameter Type;Change Parameter Type	visitor : BindingTargetVisitor to visitor : BindingTargetVisitor<B,R> in method public acceptExtensionVisitor(visitor BindingTargetVisitor<B,R>, binding ProviderInstanceBinding<? extends B>) : R in class com.google.inject.internal.RealOptionalBinder.JavaOptionalProvider
6fd2442814cd268803cfe5b9c920460250f825ca;Change Parameter Type;Change Parameter Type	binding : ProviderInstanceBinding to binding : ProviderInstanceBinding<? extends B> in method public acceptExtensionVisitor(visitor BindingTargetVisitor<B,R>, binding ProviderInstanceBinding<? extends B>) : R in class com.google.inject.internal.RealOptionalBinder.JavaOptionalProvider
6fd2442814cd268803cfe5b9c920460250f825ca;Change Variable Type;Change Variable Type	result : Object to result : T in method protected doProvision(context InternalContext, currentDependency Dependency<?>) : java.util.Optional<T> in class com.google.inject.internal.RealOptionalBinder.JavaOptionalProvider
6fd2442814cd268803cfe5b9c920460250f825ca;Change Attribute Type;Change Attribute Type	value : Object to value : java.util.Optional<Provider<T>> in class com.google.inject.internal.RealOptionalBinder.JavaOptionalProviderProvider
6fd2442814cd268803cfe5b9c920460250f825ca;Change Parameter Type;Change Parameter Type	bindingSelection : BindingSelection<?> to bindingSelection : BindingSelection<T> in method package JavaOptionalProviderProvider(bindingSelection BindingSelection<T>) in class com.google.inject.internal.RealOptionalBinder.JavaOptionalProviderProvider
6fd2442814cd268803cfe5b9c920460250f825ca;Change Return Type;Change Return Type	Object to java.util.Optional<Provider<T>> in method protected doProvision(context InternalContext, dependency Dependency<?>) : java.util.Optional<Provider<T>> in class com.google.inject.internal.RealOptionalBinder.JavaOptionalProviderProvider
6fd2442814cd268803cfe5b9c920460250f825ca;Change Parameter Type;Change Parameter Type	dependency : Dependency to dependency : Dependency<?> in method protected doProvision(context InternalContext, dependency Dependency<?>) : java.util.Optional<Provider<T>> in class com.google.inject.internal.RealOptionalBinder.JavaOptionalProviderProvider
6fd2442814cd268803cfe5b9c920460250f825ca;Change Attribute Type;Change Attribute Type	javaOptionalOfString : TypeLiteral<?> to javaOptionalOfString : TypeLiteral<java.util.Optional<String>> in class com.google.inject.internal.OptionalBinderTest
6fd2442814cd268803cfe5b9c920460250f825ca;Change Attribute Type;Change Attribute Type	javaOptionalOfProviderString : TypeLiteral<?> to javaOptionalOfProviderString : TypeLiteral<java.util.Optional<Provider<String>>> in class com.google.inject.internal.OptionalBinderTest
6fd2442814cd268803cfe5b9c920460250f825ca;Change Attribute Type;Change Attribute Type	javaOptionalOfJavaxProviderString : TypeLiteral<?> to javaOptionalOfJavaxProviderString : TypeLiteral<java.util.Optional<javax.inject.Provider<String>>> in class com.google.inject.internal.OptionalBinderTest
6fd2442814cd268803cfe5b9c920460250f825ca;Change Attribute Type;Change Attribute Type	javaOptionalOfInteger : TypeLiteral<?> to javaOptionalOfInteger : TypeLiteral<java.util.Optional<Integer>> in class com.google.inject.internal.OptionalBinderTest
6fd2442814cd268803cfe5b9c920460250f825ca;Change Attribute Type;Change Attribute Type	javaOptionalOfProviderInteger : TypeLiteral<?> to javaOptionalOfProviderInteger : TypeLiteral<java.util.Optional<Provider<Integer>>> in class com.google.inject.internal.OptionalBinderTest
6fd2442814cd268803cfe5b9c920460250f825ca;Change Attribute Type;Change Attribute Type	javaOptionalOfJavaxProviderInteger : TypeLiteral<?> to javaOptionalOfJavaxProviderInteger : TypeLiteral<java.util.Optional<javax.inject.Provider<Integer>>> in class com.google.inject.internal.OptionalBinderTest
6fd2442814cd268803cfe5b9c920460250f825ca;Change Attribute Type;Change Attribute Type	methodHandleByMethod : ImmutableMap<Method,MethodHandleWrapper> to methodHandleByMethod : ImmutableMap<Method,MethodHandle> in class com.google.inject.assistedinject.FactoryProvider2
